vPolSeaveyGain_dBi	FreqsMHz
5.82055480185	383.30078125
5.74106800963	384.521484375
5.65262669792	385.7421875
5.56107343468	386.962890625
5.47982157157	388.18359375
5.41457242049	389.404296875
5.35829126763	390.625
5.30024595794	391.845703125
5.23800184665	393.06640625
5.17900469484	394.287109375
5.13148295711	395.5078125
5.09648869189	396.728515625
5.06928733182	397.94921875
5.04660295772	399.169921875
5.030547628	400.390625
5.02563660366	401.611328125
5.0343585236	402.83203125
5.05730298309	404.052734375
5.09621035997	405.2734375
5.15376174285	406.494140625
5.22887313897	407.71484375
5.31386060919	408.935546875
5.39930907639	410.15625
5.48302395986	411.376953125
5.57234041017	412.59765625
5.6756421393	413.818359375
5.79199946304	415.0390625
5.91039962333	416.259765625
6.0200944415	417.48046875
6.12127518842	418.701171875
6.22396145049	419.921875
6.33700712353	421.142578125
6.46058434293	422.36328125
6.5898350854	423.583984375
6.72359758623	424.8046875
6.86617466046	426.025390625
7.01912403318	427.24609375
7.17342186299	428.466796875
7.31346051531	429.6875
7.43115793651	430.908203125
7.53426353768	432.12890625
7.6373745375	433.349609375
7.74454787896	434.5703125
7.84099425264	435.791015625
7.90178788578	437.01171875
7.91070605519	438.232421875
7.87160725279	439.453125
7.80159060674	440.673828125
7.71567328131	441.89453125
7.61924236517	443.115234375
7.51263674945	444.3359375
7.40002406143	445.556640625
7.29253235611	446.77734375
7.20350002755	447.998046875
7.14241565512	449.21875
7.11366501485	450.439453125
7.1193626558	451.66015625
7.16150903513	452.880859375
7.24101226635	454.1015625
7.3555770146	455.322265625
7.49941667397	456.54296875
7.66504990482	457.763671875
7.84527973189	458.984375
8.03402024872	460.205078125
8.22606308411	461.42578125
8.41599870899	462.646484375
8.59627265001	463.8671875
8.75562988779	465.087890625
8.88087805166	466.30859375
8.9634247269	467.529296875
9.00639644029	468.75
9.02460782896	469.970703125
9.03547021098	471.19140625
9.04842581005	472.412109375
9.06202331563	473.6328125
9.07064447111	474.853515625
9.07382127793	476.07421875
9.0781329334	477.294921875
9.09012848445	478.515625
9.10956947125	479.736328125
9.13156988931	480.95703125
9.15505622432	482.177734375
9.18651822781	483.3984375
9.23318710743	484.619140625
9.29287306846	485.83984375
9.35226033602	487.060546875
9.39710285333	488.28125
9.42472399955	489.501953125
9.4450899562	490.72265625
9.46947720322	491.943359375
9.49957796442	493.1640625
9.52737737857	494.384765625
9.54400005654	495.60546875
9.54731369977	496.826171875
9.54070928201	498.046875
9.52668015991	499.267578125
9.50466811093	500.48828125
9.4758379812	501.708984375
9.44748963784	502.9296875
9.42981538962	504.150390625
9.42770068891	505.37109375
9.43688173547	506.591796875
9.44933073253	507.8125
9.46266246453	509.033203125
9.48326667283	510.25390625
9.5198303208	511.474609375
9.57501243892	512.6953125
9.64413021319	513.916015625
9.72110188413	515.13671875
9.80413928027	516.357421875
9.89478420753	517.578125
9.99241453542	518.798828125
10.0916038927	520.01953125
10.1855351654	521.240234375
10.2709519886	522.4609375
10.3483605973	523.681640625
10.4174779532	524.90234375
10.4739445175	526.123046875
10.511529713	527.34375
10.5273147853	528.564453125
10.5238024376	529.78515625
10.5057352921	531.005859375
10.4757651894	532.2265625
10.4340777243	533.447265625
10.382025736	534.66796875
10.3249855193	535.888671875
10.2706185991	537.109375
10.2243300745	538.330078125
10.1870060296	539.55078125
10.1574261775	540.771484375
10.1365762173	541.9921875
10.1291238105	543.212890625
10.1406260298	544.43359375
10.1735073941	545.654296875
10.2253998345	546.875
10.2905568054	548.095703125
10.3625834552	549.31640625
10.4365607777	550.537109375
10.5098052621	551.7578125
10.5813210361	552.978515625
10.6502459271	554.19921875
10.7141236164	555.419921875
10.7685267474	556.640625
10.8090662572	557.861328125
10.8346201	559.08203125
10.8486401257	560.302734375
10.8565899189	561.5234375
10.8615350739	562.744140625
10.8622869493	563.96484375
10.8563205523	565.185546875
10.8447071908	566.40625
10.8335762265	567.626953125
10.8298885409	568.84765625
10.8353568175	570.068359375
10.8443684935	571.2890625
10.8481949237	572.509765625
10.842073745	573.73046875
10.8286231945	574.951171875
10.8141686901	576.171875
10.801276429	577.392578125
10.7839069776	578.61328125
10.7492536716	579.833984375
10.6855352449	581.0546875
10.5900823225	582.275390625
10.4706621028	583.49609375
10.3384905741	584.716796875
10.1988835469	585.9375
10.0472716595	587.158203125
9.8742591393	588.37890625
9.67651840076	589.599609375
9.46389978377	590.8203125
9.25505011642	592.041015625
9.06518452894	593.26171875
8.89726441502	594.482421875
8.74439083896	595.703125
8.60180704634	596.923828125
8.47748490063	598.14453125
8.3900371815	599.365234375
8.35562094984	600.5859375
8.37617123797	601.806640625
8.43831824862	603.02734375
8.52311965381	604.248046875
8.61854486437	605.46875
8.72392662856	606.689453125
8.84330919311	607.91015625
8.97546392896	609.130859375
9.10967012574	610.3515625
9.22983502323	611.572265625
9.32317945559	612.79296875
9.38659105027	614.013671875
9.42558049209	615.234375
9.44708094884	616.455078125
9.45236046729	617.67578125
9.43601816075	618.896484375
9.39255141974	620.1171875
9.32529653444	621.337890625
9.24853018146	622.55859375
9.17914167913	623.779296875
9.12512761008	625.0
9.08161693366	626.220703125
9.0386913223	627.44140625
8.99429103372	628.662109375
8.95869403666	629.8828125
8.94507309956	631.103515625
8.95627245478	632.32421875
8.98145869628	633.544921875
9.0058916814	634.765625
9.02372997391	635.986328125
9.03967317466	637.20703125
9.05796748865	638.427734375
9.07241957843	639.6484375
9.06945703016	640.869140625
9.04139639089	642.08984375
8.9945579044	643.310546875
8.94183473707	644.53125
8.88799461177	645.751953125
8.82434397852	646.97265625
8.73932712466	648.193359375
8.63426362189	649.4140625
8.52552415197	650.634765625
8.42973743912	651.85546875
8.34925288834	653.076171875
8.27409951277	654.296875
8.19865648939	655.517578125
8.1341752084	656.73828125
8.10134346549	657.958984375
8.11066216398	659.1796875
8.15149585211	660.400390625
8.20118595411	661.62109375
8.24684027885	662.841796875
8.29706505417	664.0625
8.37000444555	665.283203125
8.47216862561	666.50390625
8.59034494128	667.724609375
8.70282812052	668.9453125
8.79820241255	670.166015625
8.88228422507	671.38671875
8.96680168967	672.607421875
9.05406892782	673.828125
9.13382496917	675.048828125
9.19411974072	676.26953125
9.23420270432	677.490234375
9.26540368252	678.7109375
9.29988740353	679.931640625
9.34039678025	681.15234375
9.38098079445	682.373046875
9.41643997974	683.59375
9.44971747271	684.814453125
9.48920085807	686.03515625
9.53943753775	687.255859375
9.59562750999	688.4765625
9.64779729062	689.697265625
9.69074910317	690.91796875
9.7294900934	692.138671875
9.77410153978	693.359375
9.82927933174	694.580078125
9.88872240297	695.80078125
9.93945032952	697.021484375
9.9723107256	698.2421875
9.98876540498	699.462890625
9.99724978966	700.68359375
10.0035669174	701.904296875
10.0057320969	703.125
9.99833404937	704.345703125
9.98145547134	705.56640625
9.96390677233	706.787109375
9.95635363661	708.0078125
9.9611535308	709.228515625
9.96937345881	710.44921875
9.96889734352	711.669921875
9.95672999359	712.890625
9.94287570436	714.111328125
9.94146512176	715.33203125
9.95850896177	716.552734375
9.98755340164	717.7734375
10.015697109	718.994140625
10.0334442078	720.21484375
10.0390267768	721.435546875
10.0342100464	722.65625
10.0179713062	723.876953125
9.98556984325	725.09765625
9.93324543206	726.318359375
9.86235318886	727.5390625
9.77790252146	728.759765625
9.68315085776	729.98046875
9.57598206163	731.201171875
9.45060548321	732.421875
9.30311917755	733.642578125
9.13626156725	734.86328125
8.95975337995	736.083984375
8.78671086889	737.3046875
8.62916630376	738.525390625
8.49490628654	739.74609375
8.38619876711	740.966796875
8.30053916628	742.1875
