hPolSeaveyGain_dBi	FreqsMHz
7.84263510493	356.4453125
7.67002545687	357.666015625
7.50864956339	358.88671875
7.36365270986	360.107421875
7.23581093909	361.328125
7.12213666235	362.548828125
7.01972091295	363.76953125
6.92983340295	364.990234375
6.85742502897	366.2109375
6.80530083922	367.431640625
6.76877883202	368.65234375
6.73761571069	369.873046875
6.70491360827	371.09375
6.67368746428	372.314453125
6.65225283024	373.53515625
6.64175839767	374.755859375
6.62860765469	375.9765625
6.59142158006	377.197265625
6.51905098538	378.41796875
6.42175701895	379.638671875
6.32189095676	380.859375
6.23381076066	382.080078125
6.15320961785	383.30078125
6.06458111183	384.521484375
5.95894250297	385.7421875
5.84352017709	386.962890625
5.73333198971	388.18359375
5.63581330043	389.404296875
5.54571544271	390.625
5.45407933864	391.845703125
5.36017361714	393.06640625
5.27302210168	394.287109375
